gene
DEF6 (50619)
RNASE1 (6035)
PRUNE2 (158471)
MAP1LC3A (84557)
NSG1 (27065)
SNX7 (51375)
FMNL1 (752)
SPANXA2 (728712)
B4GALNT1 (2583)
NTS (4922)
HOXB6 (3216)
SLCO4A1 (28231)
EFNB2 (1948)
NELL2 (4753)
HOXB7 (3217)
ADAM12 (8038)
ITGA11 (22801)
VEPH1 (79674)
ATP8B1 (5205)
ANTXR2 (118429)
PRR15L (79170)
HID1 (283987)
FBXO32 (114907)
C2orf74 (339804)
HLA-A (3105)
PSG4 (5672)
USP9Y (8287)
SPINK1 (6690)
TMEM158 (25907)
DZIP1 (22873)
INA (9118)
ALDOC (230)
TC2N (123036)
MYO1D (4642)
PKP1 (5317)
AJUBA (84962)
EDN1 (1906)
FBP1 (2203)
SH3BP4 (23677)
MYO10 (4651)
EMP2 (2013)
TYR (7299)
GALNT6 (11226)
FYN (2534)
PHACTR1 (221692)
SNAP25 (6616)
MLANA (2315)
ZNF880 (400713)
LRRC61 (65999)
NDRG2 (57447)
C6orf141 (135398)
LTBP2 (4053)
AUTS2 (26053)
AOX1 (316)
SYDE1 (85360)
PCOLCE2 (26577)
PTPRS (5802)
IQGAP2 (10788)
UBD (10537)
LMO7 (4008)
CENPV (201161)
MAGEC2 (51438)
THBD (7056)
METTL7A (25840)
ENC1 (8507)
SDC3 (9672)
ASRGL1 (80150)
LYPD1 (116372)
CDC42EP5 (148170)
AK5 (26289)
NTM (50863)
NGFR (4804)
TEAD2 (8463)
IL1R1 (3554)
TMEM265 (100862671)
LFNG (3955)
EVL (51466)
LAMC1 (3915)
FMN2 (56776)
MARCKS (4082)
PLPP3 (8613)
CP (1356)
TJP3 (27134)
GPC3 (2719)
CYP27A1 (1593)
GPM6B (2824)
CKAP4 (10970)
GSTT2B (653689)
RASGRP2 (10235)
HSPA2 (3306)
PAM (5066)
RHOB (388)
TPD52 (7163)
MPDZ (8777)
PON2 (5445)
LMO2 (4005)
AKT3 (10000)
LCP2 (3937)
HES6 (55502)
ID4 (3400)
FUCA2 (2519)
TRNP1 (388610)
ADAM23 (8745)
VIL1 (7429)
CYB5R2 (51700)
SLC40A1 (30061)
SH3BGRL (6451)
SPEG (10290)
INHBB (3625)
HOOK1 (51361)
TUBB2A (7280)
GBP3 (2635)
SEZ6L2 (26470)
CYB561 (1534)
ARHGAP23 (57636)
MAGED4 (728239)
PALM2AKAP2 (445815)
TRPM2 (7226)
